Siparis_ID,Siparis_Tarihi,Sevk_Tarihi,Musteri_ID,Musteri_Ismi,Segment,Bolge,Sehir,Ilce,Urun_ID,Kategori,Alt_Kategori,Urun_Adi,Satis,Kar
TU-2019-NF8595134-41037,08/05/2019,12/05/2019,NF-8595134,Nicole Fjeld,Ev-Ofis,Marmara,Tekirdağ,Çorlu,TEC-MA-4193,Teknoloji,Makine,Epson Card Printer. Durable,408.17,-25.39
TU-2019-NF8595134-41037,08/05/2019,12/05/2019,NF-8595134,Nicole Fjeld,Ev-Ofis,Marmara,Tekirdağ,Çorlu,TEC-CO-3587,Teknoloji,Fotokopi Makinesi,Brother Copy Machine. Color,105.49,4.84
TU-2019-MH8025134-41041,12/05/2019,15/05/2019,MH-8025134,Michelle Huthwaite,Tüketici,Karadeniz,Samsun,Bafra,TEC-CO-6009,Teknoloji,Fotokopi Makinesi,Sharp Wireless Fax. Color,142.94,-11.52
TU-2019-RD9720164-41044,15/05/2019,18/05/2019,RD-9720164,Roger Demir,Tüketici,İç Anadolu,Konya,Selçuklu,OFF-ST-4262,Ofis Malzemeleri,Depolama,Fellowes Folders. Industrial,10.75,0.95
TU-2019-SG10605134-41049,20/05/2019,24/05/2019,SG-10605134,Speros Goranitis,Tüketici,İç Anadolu,Ankara,Çankaya,TEC-AC-3405,Teknoloji,Aksesuar,Belkin Router. USB,103.58,3.67
TU-2019-SG10605134-41049,20/05/2019,24/05/2019,SG-10605134,Speros Goranitis,Tüketici,İç Anadolu,Ankara,Çankaya,TEC-PH-5253,Teknoloji,Telefon,Motorola Headset. VoIP,31.93,1.16
TU-2019-SG10605134-41049,20/05/2019,24/05/2019,SG-10605134,Speros Goranitis,Tüketici,İç Anadolu,Ankara,Çankaya,OFF-PA-5879,Ofis Malzemeleri,Kağıt,SanDisk Message Books. Recycled,18.98,2.18
TU-2019-WB11850134-41060,31/05/2019,31/05/2019,WB-11850134,William Brown,Tüketici,Marmara,İstanbul,Kartal,OFF-ST-4260,Ofis Malzemeleri,Depolama,Fellowes File Cart. Wire Frame,109.10,16.42
TU-2019-WB11850134-41060,31/05/2019,31/05/2019,WB-11850134,William Brown,Tüketici,Marmara,İstanbul,Kartal,OFF-BI-6403,Ofis Malzemeleri,Cilt,Wilson Jones Index Tab. Durable,12.72,8.48
TU-2019-WB11850134-41060,31/05/2019,31/05/2019,WB-11850134,William Brown,Tüketici,Marmara,İstanbul,Kartal,OFF-EN-5037,Ofis Malzemeleri,Zarf,Kraft Manila Envelope. Recycled,10.12,-0.64
TU-2019-WB11850134-41060,31/05/2019,31/05/2019,WB-11850134,William Brown,Tüketici,Marmara,İstanbul,Kartal,OFF-AR-5904,Ofis Malzemeleri,Sanat,Sanford Canvas. Fluorescent,20.71,1.93
TU-2019-NW8400134-41061,01/06/2019,06/06/2019,NW-8400134,Natalie Webber,Tüketici,İç Anadolu,Ankara,Çankaya,FUR-TA-3354,Mobilya,Masa,Barricks Training Table. Rectangular,126.35,16.11
TU-2019-NW8400134-41061,01/06/2019,06/06/2019,NW-8400134,Natalie Webber,Tüketici,İç Anadolu,Ankara,Çankaya,FUR-FU-4035,Mobilya,Mobilya,Eldon Clock. Duo Pack,22.63,-9.08
TU-2019-NW8400134-41061,01/06/2019,06/06/2019,NW-8400134,Natalie Webber,Tüketici,İç Anadolu,Ankara,Çankaya,OFF-ST-6272,Ofis Malzemeleri,Depolama,Tenex Shelving. Blue,21.86,2.07
TU-2019-NW8400134-41061,01/06/2019,06/06/2019,NW-8400134,Natalie Webber,Tüketici,İç Anadolu,Ankara,Çankaya,OFF-AR-5926,Ofis Malzemeleri,Sanat,Sanford Pens. Fluorescent,9.89,2.93
TU-2019-BD1635134-41062,02/06/2019,04/06/2019,BD-1635134,Brian Derr,Tüketici,Karadeniz,Çorum,Sungurlu,OFF-SU-2977,Ofis Malzemeleri,Sarf Malzemesi,Acme Letter Opener. Easy Grip,25.46,2.38
TU-2019-MT8070134-41066,06/06/2019,10/06/2019,MT-8070134,Michelle Tran,Ev-Ofis,GD Anadolu,Gaziantep,Nizip,OFF-AP-4745,Ofis Malzemeleri,Araç Gereç,Hoover Stove. White,1359.86,-18.88
TU-2019-MT8070134-41066,06/06/2019,10/06/2019,MT-8070134,Michelle Tran,Ev-Ofis,GD Anadolu,Gaziantep,Nizip,OFF-ST-6031,Ofis Malzemeleri,Depolama,Smead File Cart. Blue,305.93,-41.33
TU-2019-MT8070134-41066,06/06/2019,10/06/2019,MT-8070134,Michelle Tran,Ev-Ofis,GD Anadolu,Gaziantep,Nizip,OFF-ST-5703,Ofis Malzemeleri,Depolama,Rogers Lockers. Wire Frame,84.28,7.76
TU-2019-MT8070134-41066,06/06/2019,10/06/2019,MT-8070134,Michelle Tran,Ev-Ofis,GD Anadolu,Gaziantep,Nizip,OFF-ST-6275,Ofis Malzemeleri,Depolama,Tenex Shelving. Wire Frame,21.49,5.82
TU-2019-MT8070134-41066,06/06/2019,10/06/2019,MT-8070134,Michelle Tran,Ev-Ofis,GD Anadolu,Gaziantep,Nizip,OFF-BI-3720,Ofis Malzemeleri,Cilt,Cardinal Binder. Clear,5.32,-0.34
TU-2019-MT8070134-41066,06/06/2019,10/06/2019,MT-8070134,Michelle Tran,Ev-Ofis,GD Anadolu,Gaziantep,Nizip,OFF-ST-6230,Ofis Malzemeleri,Depolama,Tenex Box. Single Width,6.61,-2.12
TU-2019-CB2415134-41066,06/06/2019,08/06/2019,CB-2415134,Christy Brittain,Tüketici,Ege,İzmir,Torbalı,FUR-TA-3766,Mobilya,Masa,Chromcraft Conference Table. with Bottom Storage,349.07,-42.52
TU-2019-AA315134-41067,07/06/2019,10/06/2019,AA-315134,Alex Avila,Tüketici,Marmara,Balıkesir,Bandırma,OFF-ST-6024,Ofis Malzemeleri,Depolama,Smead Box. Industrial,4.50,1.85
TU-2019-BV1245134-41067,07/06/2019,11/06/2019,BV-1245134,Benjamin Venier,Kurumsal,Akdeniz,Kahramanmaraş,Elbistan,TEC-MA-6149,Teknoloji,Makine,StarTech Printer. White,101.83,6.94
TU-2019-BV1245134-41067,07/06/2019,11/06/2019,BV-1245134,Benjamin Venier,Kurumsal,Akdeniz,Kahramanmaraş,Elbistan,OFF-BI-3714,Ofis Malzemeleri,Cilt,Cardinal 3-Hole Punch. Economy,46.08,7.28
TU-2019-KH6690134-41073,13/06/2019,18/06/2019,KH-6690134,Kristen Hastings,Kurumsal,Marmara,İstanbul,Kartal,TEC-AC-3390,Teknoloji,Aksesuar,Belkin Memory Card. Programmable,93.05,-9.79
TU-2019-PJ9015134-41074,14/06/2019,16/06/2019,PJ-9015134,Pauline Johnson,Tüketici,Marmara,Kocaeli,Karamürsel,OFF-SU-4135,Ofis Malzemeleri,Sarf Malzemesi,Elite Trimmer. Easy Grip,69.26,2.54
TU-2019-PJ9015134-41074,14/06/2019,16/06/2019,PJ-9015134,Pauline Johnson,Tüketici,Marmara,Kocaeli,Karamürsel,OFF-ST-4264,Ofis Malzemeleri,Depolama,Fellowes Folders. Wire Frame,40.75,4.73
TU-2019-FW4395134-41080,20/06/2019,24/06/2019,FW-4395134,Fred Wasserman,Kurumsal,Marmara,Bursa,Orhangazi,OFF-ST-4258,Ofis Malzemeleri,Depolama,Fellowes File Cart. Industrial,110.23,19.53
TU-2019-ES4080134-41081,21/06/2019,24/06/2019,ES-4080134,Erin Smith,Kurumsal,Marmara,İstanbul,Esenyurt,OFF-AP-4498,Ofis Malzemeleri,Araç Gereç,Hamilton Beach Microwave. Red,113.00,7.66
TU-2019-TB11625134-41081,21/06/2019,26/06/2019,TB-11625134,Trudy Brown,Tüketici,Marmara,İstanbul,Kartal,OFF-BI-3295,Ofis Malzemeleri,Cilt,Avery Index Tab. Economy,3.13,1.23
TU-2019-DO3435134-41082,22/06/2019,26/06/2019,DO-3435134,Denny Ordway,Tüketici,Akdeniz,Adana,Ceyhan,OFF-BI-6385,Ofis Malzemeleri,Cilt,Wilson Jones Binding Machine. Recycled,19.73,-4.19
TU-2019-EP3915134-41086,26/06/2019,01/07/2019,EP-3915134,Emily Phan,Tüketici,Akdeniz,Adana,Ceyhan,FUR-CH-5408,Mobilya,Sandalye,Novimex Steel Folding Chair. Red,131.57,5.99
TU-2019-EP3915134-41086,26/06/2019,01/07/2019,EP-3915134,Emily Phan,Tüketici,Akdeniz,Adana,Ceyhan,TEC-MA-6134,Teknoloji,Makine,StarTech Calculator. White,61.39,9.09
TU-2019-SM10320164-41087,27/06/2019,03/07/2019,SM-10320164,Sean Miller,Ev-Ofis,İç Anadolu,Ankara,Mamak,OFF-SU-4313,Ofis Malzemeleri,Sarf Malzemesi,Fiskars Ruler. Serrated,8.90,1.14
TU-2019-SM10320164-41087,27/06/2019,03/07/2019,SM-10320164,Sean Miller,Ev-Ofis,İç Anadolu,Ankara,Mamak,OFF-AR-5904,Ofis Malzemeleri,Sanat,Sanford Canvas. Fluorescent,20.71,1.93
TU-2019-DL3495134-41088,28/06/2019,28/06/2019,DL-3495134,Dionis Lloyd,Kurumsal,Marmara,Bursa,Orhangazi,OFF-LA-6029,Ofis Malzemeleri,Etiket,Smead Color Coded Labels. Alphabetical,10.30,1.64
TU-2019-KE6420164-41089,29/06/2019,03/07/2019,KE-6420164,Katrina Edelman,Kurumsal,Marmara,İstanbul,Kartal,OFF-PA-4144,Ofis Malzemeleri,Kağıt,Enermax Cards & Envelopes. Multicolor,38.81,4.65
TU-2019-KE6420164-41089,29/06/2019,03/07/2019,KE-6420164,Katrina Edelman,Kurumsal,Marmara,İstanbul,Kartal,OFF-AR-3460,Ofis Malzemeleri,Sanat,BIC Pencil Sharpener. Blue,11.60,1.23
TU-2019-CG2040134-41104,14/07/2019,17/07/2019,CG-2040134,Catherine Glotzbach,Ev-Ofis,Marmara,İstanbul,Kartal,TEC-PH-5268,Teknoloji,Telefon,Motorola Smart Phone. Full Size,257.08,-14.41
TU-2019-CG2040134-41104,14/07/2019,17/07/2019,CG-2040134,Catherine Glotzbach,Ev-Ofis,Marmara,İstanbul,Kartal,TEC-PH-5246,Teknoloji,Telefon,Motorola Audio Dock. Cordless,140.98,19.84
TU-2019-CG2040134-41104,14/07/2019,17/07/2019,CG-2040134,Catherine Glotzbach,Ev-Ofis,Marmara,İstanbul,Kartal,TEC-AC-3396,Teknoloji,Aksesuar,Belkin Numeric Keypad. Bluetooth,23.18,6.84
TU-2019-PR8880134-41105,15/07/2019,18/07/2019,PR-8880134,Patrick Ryan,Tüketici,Marmara,Kocaeli,Karamürsel,FUR-TA-4705,Mobilya,Masa,Hon Training Table. Adjustable Height,267.91,-27.31
TU-2019-TS11205134-41112,22/07/2019,25/07/2019,TS-11205134,Thomas Seio,Kurumsal,Marmara,İstanbul,Kartal,TEC-CO-6005,Teknoloji,Fotokopi Makinesi,Sharp Personal Copier. Color,48.58,-4.10
TU-2019-FH4365134-41121,31/07/2019,04/08/2019,FH-4365134,Fred Hopkins,Kurumsal,İç Anadolu,Ankara,Çankaya,TEC-AC-5873,Teknoloji,Aksesuar,SanDisk Memory Card. Erganomic,44.09,-6.30
TU-2019-JF5190134-41121,31/07/2019,04/08/2019,JF-5190134,Jamie Frazer,Tüketici,Marmara,İstanbul,Beykoz,FUR-CH-5441,Mobilya,Sandalye,Office Star Executive Leather Armchair. Adjustable,1103.74,-84.10
TU-2019-JF5190134-41121,31/07/2019,04/08/2019,JF-5190134,Jamie Frazer,Tüketici,Marmara,İstanbul,Beykoz,OFF-SU-2989,Ofis Malzemeleri,Sarf Malzemesi,Acme Scissors. High Speed,40.70,5.94
TU-2019-DH3075134-41121,31/07/2019,05/08/2019,DH-3075134,Dave Hallsten,Kurumsal,Marmara,İstanbul,Kartal,TEC-AC-4171,Teknoloji,Aksesuar,Enermax Mouse. Bluetooth,16.12,4.34
TU-2019-JF5190134-41121,31/07/2019,04/08/2019,JF-5190134,Jamie Frazer,Tüketici,Marmara,İstanbul,Beykoz,OFF-AR-6118,Ofis Malzemeleri,Sanat,Stanley Pencil Sharpener. Easy-Erase,10.42,2.77
TU-2019-JF5190134-41121,31/07/2019,04/08/2019,JF-5190134,Jamie Frazer,Tüketici,Marmara,İstanbul,Beykoz,OFF-ST-4252,Ofis Malzemeleri,Depolama,Fellowes Box. Single Width,7.88,1.66
TU-2019-JR5700134-41123,02/08/2019,05/08/2019,JR-5700134,Jocasta Rupert,Tüketici,Marmara,İstanbul,Kartal,OFF-ST-6067,Ofis Malzemeleri,Depolama,Smead Trays. Single Width,19.40,3.60
TU-2019-CP2085134-41124,03/08/2019,09/08/2019,CP-2085134,Cathy Prescott,Kurumsal,Ege,İzmir,Torbalı,OFF-AR-3460,Ofis Malzemeleri,Sanat,BIC Pencil Sharpener. Blue,11.60,2.34
TU-2019-PM8940134-41130,09/08/2019,14/08/2019,PM-8940134,Paul MacIntyre,Tüketici,İç Anadolu,Ankara,Çankaya,TEC-AC-5220,Teknoloji,Aksesuar,Memorex Numeric Keypad. Bluetooth,72.67,4.01
TU-2019-NB8580134-41132,11/08/2019,15/08/2019,NB-8580134,Nicole Brennan,Kurumsal,D.Anadolu ,Erzurum,Aziziye,TEC-MA-5544,Teknoloji,Makine,Panasonic Card Printer. White,68.89,7.91
TU-2019-NB8580134-41132,11/08/2019,15/08/2019,NB-8580134,Nicole Brennan,Kurumsal,D.Anadolu ,Erzurum,Aziziye,FUR-CH-4702,Mobilya,Sandalye,Hon Swivel Stool. Black,64.49,51.61
TU-2019-MY8295134-41137,16/08/2019,18/08/2019,MY-8295134,Muhammed Yedwab,Kurumsal,Marmara,İstanbul,Maltepe,FUR-BO-3901,Mobilya,Kitaplık,Dania Library with Doors. Metal,578.98,-36.94
TU-2019-MY8295134-41137,16/08/2019,18/08/2019,MY-8295134,Muhammed Yedwab,Kurumsal,Marmara,İstanbul,Kadıköy,TEC-CO-4776,Teknoloji,Fotokopi Makinesi,HP Fax Machine. Laser,239.95,19.99
TU-2019-JK6090134-41137,16/08/2019,20/08/2019,JK-6090134,Juliana Krohn,Tüketici,İç Anadolu,Konya,Selçuklu,OFF-AR-3492,Ofis Malzemeleri,Sanat,Binney & Smith Pencil Sharpener. Easy-Erase,11.17,3.70
TU-2019-JK6090134-41137,16/08/2019,20/08/2019,JK-6090134,Juliana Krohn,Tüketici,İç Anadolu,Konya,Selçuklu,OFF-ST-5687,Ofis Malzemeleri,Depolama,Rogers Box. Industrial,9.78,1.67
TU-2019-DH3075134-41137,16/08/2019,20/08/2019,DH-3075134,Dave Hallsten,Kurumsal,Akdeniz,Mersin,Silifke,OFF-ST-4056,Ofis Malzemeleri,Depolama,Eldon File Cart. Industrial,102.31,12.81
TU-2019-DH3075134-41137,16/08/2019,20/08/2019,DH-3075134,Dave Hallsten,Kurumsal,Akdeniz,Mersin,Silifke,OFF-AP-3877,Ofis Malzemeleri,Araç Gereç,Cuisinart Toaster. Red,21.38,4.98
TU-2019-DP3000134-41142,21/08/2019,21/08/2019,DP-3000134,Darren Powers,Tüketici,Ege,Aydın,Nazilli,OFF-PA-6612,Ofis Malzemeleri,Kağıt,Xerox Memo Slips. Recycled,5.38,1.05
TU-2019-TB11520164-41143,22/08/2019,24/08/2019,TB-11520164,Tracy Blumstein,Tüketici,İç Anadolu,Nevşehir,Ürgüp,TEC-PH-5265,Teknoloji,Telefon,Motorola Signal Booster. VoIP,229.15,35.17
TU-2019-BM1140134-41145,24/08/2019,28/08/2019,BM-1140134,Becky Martin,Tüketici,Marmara,İstanbul,Kadıköy,TEC-MA-4211,Teknoloji,Makine,Epson Receipt Printer. White,277.06,17.86
TU-2019-BM1140134-41145,24/08/2019,28/08/2019,BM-1140134,Becky Martin,Tüketici,Marmara,İstanbul,Kartal,FUR-FU-5719,Mobilya,Mobilya,Rubbermaid Clock. Duo Pack,20.09,2.12
TU-2019-SJ10125134-41150,29/08/2019,02/09/2019,SJ-10125134,Sanjit Jacobs,Ev-Ofis,Marmara,İstanbul,Kartal,FUR-BO-4846,Mobilya,Kitaplık,Ikea 3-Shelf Cabinet. Pine,115.03,-13.97
TU-2019-SJ10125134-41150,29/08/2019,02/09/2019,SJ-10125134,Sanjit Jacobs,Ev-Ofis,Marmara,İstanbul,Kartal,OFF-EN-3091,Ofis Malzemeleri,Zarf,Ames Clasp Envelope. Recycled,4.80,1.20
TU-2019-JE5715134-41153,01/09/2019,05/09/2019,JE-5715134,Joe Elijah,Tüketici,Ege,İzmir,Torbalı,OFF-AR-6126,Ofis Malzemeleri,Sanat,Stanley Sketch Pad. Easy-Erase,17.88,4.33
TU-2019-CV2805134-41159,07/09/2019,09/09/2019,CV-2805134,Cynthia Voltz,Kurumsal,Marmara,İstanbul,Kadıköy,FUR-CH-4530,Mobilya,Sandalye,Harbour Creations Executive Leather Armchair. Adjustable,1142.64,571.32
TU-2019-JL5130134-41159,07/09/2019,14/09/2019,JL-5130134,Jack Lebron,Tüketici,Marmara,İstanbul,Kartal,OFF-ST-5696,Ofis Malzemeleri,Depolama,Rogers Folders. Single Width,24.58,3.00
TU-2019-RW9540134-41164,12/09/2019,19/09/2019,RW-9540134,Rick Wilson,Kurumsal,İç Anadolu,Konya,Selçuklu,FUR-CH-5796,Mobilya,Sandalye,SAFCO Rocking Chair. Set of Two,54.86,8.30
TU-2019-LP7095134-41172,20/09/2019,20/09/2019,LP-7095134,Liz Preis,Tüketici,Marmara,İstanbul,Kartal,OFF-ST-6251,Ofis Malzemeleri,Depolama,Tenex Folders. Single Width,9.30,2.09
TU-2019-BF975134-41172,20/09/2019,23/09/2019,BF-975134,Barbara Fisher,Kurumsal,D.Anadolu ,Malatya,Darende,OFF-AR-5923,Ofis Malzemeleri,Sanat,Sanford Pencil Sharpener. Water Color,20.88,7.76
TU-2019-MK8160134-41172,20/09/2019,27/09/2019,MK-8160134,Mike Kennedy,Tüketici,Karadeniz,Tokat,Erbaa,FUR-FU-4086,Mobilya,Mobilya,Eldon Photo Frame. Erganomic,136.15,8.67
TU-2019-MK8160134-41172,20/09/2019,27/09/2019,MK-8160134,Mike Kennedy,Tüketici,Karadeniz,Tokat,Erbaa,OFF-BI-3251,Ofis Malzemeleri,Cilt,Avery Binder. Clear,19.78,4.74
TU-2019-AR405134-41174,22/09/2019,24/09/2019,AR-405134,Allen Rosenblatt,Kurumsal,GD Anadolu,Gaziantep,Nizip,OFF-AR-3466,Ofis Malzemeleri,Sanat,BIC Pens. Fluorescent,12.43,3.45
